Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic
File,"BotCommandScopeTest.java",9,0,9,0,1,,,,,1,0,0,11,,11,11,0,,,,11,,0,0,0,11,,120,14,102,51,61,4,,43,55,33,37,,1,,0,,,0,04,11
File,"BotDescription.java",0,0,0,0,0,,,,,1,0,1,0,,0,0,1,,,,0,,0,0,0,0,,31,3,20,19,1,8,,11,12,12,0,,0,,0,,,0,40,0
File,"BotName.java",0,0,0,0,0,,,,,1,0,1,0,,0,0,1,,,,0,,0,0,0,0,,31,3,20,19,1,8,,11,12,12,0,,0,,0,,,0,40,0
File,"BotOptions.java",0,0,0,0,0,,,,,1,0,0,0,,1,1,0,,,,1,,1,0,0,0,,10,1,4,3,0,5,,2,3,3,0,,0,,0,,,1,25,0
File,"BotSession.java",0,0,0,0,0,,,,,1,0,0,0,,6,6,0,,,,6,,6,0,0,0,,28,4,9,8,0,15,,7,8,8,0,,0,,0,,,1,67,0
File,"BotShortDescription.java",0,0,0,0,0,,,,,1,0,1,0,,0,0,1,,,,0,,0,0,0,0,,31,3,20,19,1,8,,11,12,12,0,,0,,0,,,0,40,0
File,"CallbackGame.java",0,0,0,0,0,,,,,1,0,0,0,,0,0,0,,,,0,,0,0,0,0,,38,3,14,13,0,21,,7,8,8,0,,0,,0,,,1,50,0
File,"CallbackQuery.java",0,0,0,0,0,,,,,1,0,7,0,,0,0,7,,,,0,,0,0,0,0,,84,4,38,37,7,42,,23,24,24,0,,0,,0,,,1,11,0
File,"Chat.java",4,0,4,0,1,,,,,1,0,33,4,,4,4,29,,,,4,,0,0,0,4,,283,13,132,123,37,138,,79,84,80,4,,1,,0,,,1,05,4
File,"ChatAdministratorRights.java",0,0,0,0,0,,,,,1,0,12,0,,0,0,12,,,,0,,0,0,0,0,,112,4,58,57,12,50,,29,30,30,0,,0,,0,,,0,86,0
File,"ChatIdConverter.java",0,0,0,0,0,,,,,1,0,0,0,,1,1,0,,,,1,,1,0,0,0,,10,3,7,6,0,0,,5,6,6,0,,0,,0,,,0,00,0
File,"ChatInviteLink.java",0,0,0,0,0,,,,,1,0,9,0,,0,0,9,,,,0,,0,0,0,0,,84,3,44,43,9,37,,27,28,28,0,,0,,0,,,0,84,0
File,"ChatJoinRequest.java",0,0,0,0,0,,,,,1,0,6,0,,0,0,6,,,,0,,0,0,0,0,,61,3,30,29,6,28,,16,17,17,0,,0,,0,,,0,93,0
File,"ChatLocation.java",0,0,0,0,0,,,,,1,0,2,0,,0,0,2,,,,0,,0,0,0,0,,39,4,24,23,2,11,,13,14,14,0,,0,,0,,,0,46,0
File,"ChatMember.java",0,0,0,0,0,,,,,1,0,0,0,,2,2,0,,,,2,,2,0,0,0,,19,2,10,9,0,7,,7,8,8,0,,0,,0,,,0,70,0
File,"ChatMemberAdministrator.java",0,0,0,0,0,,,,,1,0,17,0,,0,0,16,,,,0,,0,0,0,0,,134,4,70,69,18,60,,44,45,45,0,,0,,0,,,0,86,0
File,"ChatMemberBanned.java",0,0,0,0,0,,,,,1,0,4,0,,0,0,3,,,,0,,0,0,0,0,,50,4,31,30,5,15,,18,19,19,0,,0,,0,,,0,48,0
File,"ChatMemberDeserializer.java",12,0,12,0,3,,,,,7,0,0,3,,3,3,1,,,,3,,0,1,0,2,,64,7,53,24,26,4,,28,33,22,13,,8,,1,,,0,08,10
File,"ChatMemberLeft.java",0,0,0,0,0,,,,,1,0,3,0,,0,0,2,,,,0,,0,0,0,0,,44,4,28,27,4,12,,16,17,17,0,,0,,0,,,0,43,0
File,"ChatMemberMember.java",0,0,0,0,0,,,,,1,0,3,0,,0,0,2,,,,0,,0,0,0,0,,44,4,28,27,4,12,,16,17,17,0,,0,,0,,,0,43,0
File,"ChatMemberOwner.java",0,0,0,0,0,,,,,1,0,5,0,,0,0,4,,,,0,,0,0,0,0,,56,4,34,33,6,18,,20,21,21,0,,0,,0,,,0,53,0
File,"ChatMemberRestricted.java",0,0,0,0,0,,,,,1,0,20,0,,0,0,19,,,,0,,0,0,0,0,,150,6,80,79,21,64,,50,51,51,0,,0,,0,,,0,80,0
File,"ChatMemberTest.java",26,0,26,0,1,,,,,1,0,0,7,,7,7,0,,,,7,,0,1,0,6,,203,10,189,45,161,4,,68,76,33,50,,1,,0,,,0,02,7
File,"ChatMemberUpdated.java",0,0,0,0,0,,,,,1,0,7,0,,0,0,7,,,,0,,0,0,0,0,,72,5,39,38,7,28,,24,25,25,0,,0,,0,,,0,72,0
File,"ChatPermissions.java",0,0,0,0,0,,,,,1,0,15,0,,0,0,15,,,,0,,0,0,0,0,,132,5,65,64,15,62,,40,41,41,0,,0,,0,,,0,95,0
File,"ChatPhoto.java",0,0,0,0,0,,,,,1,0,4,0,,0,0,4,,,,0,,0,0,0,0,,55,3,29,28,4,23,,17,18,18,0,,0,,0,,,0,79,0
File,"ChatShared.java",0,0,0,0,0,,,,,1,0,2,0,,0,0,2,,,,0,,0,0,0,0,,41,4,23,22,2,14,,13,14,14,0,,0,,0,,,0,61,0
File,"ChosenInlineQuery.java",0,0,0,0,0,,,,,1,0,5,0,,0,0,5,,,,0,,0,0,0,0,,57,3,42,41,5,16,,24,25,25,0,,0,,0,,,0,38,0
File,"Close.java",4,0,4,0,1,,,,,1,0,1,1,,1,1,0,,,,1,,0,0,0,1,,33,3,21,18,2,9,,10,12,11,1,,1,,0,,,0,43,1
File,"CloseForumTopic.java",6,0,6,0,2,,,,,2,0,3,4,,4,4,2,,,,4,,0,0,0,4,,80,9,55,39,11,16,,24,32,24,8,,3,,1,,,0,29,6
File,"CloseGeneralForumTopic.java",5,0,5,0,1,,,,,2,0,2,4,,4,4,1,,,,4,,0,0,0,4,,69,9,48,35,8,12,,21,28,22,6,,2,,1,,,0,25,5
